[05:44:52] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[05:44:53] [ServerMain/INFO]: Loaded 7 recipes
[05:44:53] [ServerMain/INFO]: Loaded 1271 advancements
[05:44:54] [Server thread/INFO]: Starting minecraft server version 1.20.1
[05:44:54] [Server thread/INFO]: Loading properties
[05:44:54] [Server thread/INFO]: Default game type: SURVIVAL
[05:44:54] [Server thread/INFO]: Generating keypair
[05:44:54] [Server thread/INFO]: Starting Minecraft server on *:25565
[05:44:54] [Server thread/INFO]: Using epoll channel type
[05:44:54] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[05:44:54] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[05:44:54] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[05:44:54] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[05:44:54] [Server thread/INFO]: Preparing level "world"
[05:45:00] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[05:45:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:45:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:45:01] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[05:45:01] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[05:45:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:45:02] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[05:45:03] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[05:45:03] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[05:45:04] [Worker-Main-3/INFO]: Preparing spawn area: 2%
[05:45:04] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[05:45:05] [Worker-Main-1/INFO]: Preparing spawn area: 5%
[05:45:05] [Worker-Main-1/INFO]: Preparing spawn area: 6%
[05:45:06] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[05:45:06] [Worker-Main-2/INFO]: Preparing spawn area: 8%
[05:45:07] [Worker-Main-1/INFO]: Preparing spawn area: 10%
[05:45:07] [Worker-Main-1/INFO]: Preparing spawn area: 11%
[05:45:08] [Worker-Main-3/INFO]: Preparing spawn area: 13%
[05:45:08] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[05:45:09] [Worker-Main-1/INFO]: Preparing spawn area: 17%
[05:45:09] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[05:45:10] [Worker-Main-3/INFO]: Preparing spawn area: 22%
[05:45:10] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[05:45:11] [Worker-Main-1/INFO]: Preparing spawn area: 25%
[05:45:11] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[05:45:12] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[05:45:12] [Worker-Main-1/INFO]: Preparing spawn area: 32%
[05:45:13] [Worker-Main-1/INFO]: Preparing spawn area: 34%
[05:45:13] [Worker-Main-2/INFO]: Preparing spawn area: 36%
[05:45:14] [Worker-Main-3/INFO]: Preparing spawn area: 39%
[05:45:14] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[05:45:15] [Worker-Main-1/INFO]: Preparing spawn area: 44%
[05:45:15] [Worker-Main-3/INFO]: Preparing spawn area: 46%
[05:45:16] [Worker-Main-2/INFO]: Preparing spawn area: 50%
[05:45:16] [Worker-Main-1/INFO]: Preparing spawn area: 53%
[05:45:17] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[05:45:17] [Worker-Main-1/INFO]: Preparing spawn area: 57%
[05:45:18] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[05:45:18] [Worker-Main-1/INFO]: Preparing spawn area: 64%
[05:45:19] [Worker-Main-1/INFO]: Preparing spawn area: 66%
[05:45:19] [Worker-Main-2/INFO]: Preparing spawn area: 69%
[05:45:20] [Worker-Main-1/INFO]: Preparing spawn area: 71%
[05:45:20] [Worker-Main-2/INFO]: Preparing spawn area: 72%
[05:45:21] [Worker-Main-1/INFO]: Preparing spawn area: 75%
[05:45:21] [Worker-Main-1/INFO]: Preparing spawn area: 77%
[05:45:22] [Worker-Main-1/INFO]: Preparing spawn area: 81%
[05:45:22] [Worker-Main-3/INFO]: Preparing spawn area: 84%
[05:45:23] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[05:45:23] [Worker-Main-2/INFO]: Preparing spawn area: 90%
[05:45:24] [Worker-Main-3/INFO]: Preparing spawn area: 93%
[05:45:24] [Worker-Main-3/INFO]: Preparing spawn area: 97%
[05:45:25] [Server thread/INFO]: Time elapsed: 24948 ms
[05:45:25] [Server thread/INFO]: Done (30.736s)! For help, type "help"
[05:52:51] [Server thread/INFO]: RodrigoFK[/100.104.62.29:61098] logged in with entity id 216 at (60.5, 73.0, -55.5)
[05:52:51] [Server thread/INFO]: RodrigoFK joined the game
